database,workload,p50_ms,p95_ms,mean_ms,min_ms,max_ms,successful_iterations,failed_iterations
cognodb,point_lookup,611.4701500046067,2262.2766150452658,808.3098900015466,516.6162000386976,3952.458400046453,100,0
cognodb,filtered_lookup,614.3283000274096,2673.5112249996746,898.5040499980096,518.3530999929644,2970.390199974645,100,0
cognodb,1_hop,526.4902999915648,2413.038074961514,742.947468997445,515.0487000355497,3046.9506999943405,100,0
cognodb,2_hop,520.540749974316,2291.499769987422,694.4078869989607,514.7162000066601,2585.0480000372045,100,0
cognodb,3_hop,519.9207499972545,2374.9171100062085,692.1002070029499,514.4152999855578,2615.5256000347435,100,0
cognodb,degree_aggregation,6711.051550024422,7837.468784992234,6515.290839996887,4004.2107999906875,8503.024099976756,100,0
neo4j,point_lookup,93.5860000026878,186.9529499701457,83.84019900287967,8.677100006025285,305.1131999818608,100,0
neo4j,filtered_lookup,14.509749977150932,93.9524250163231,44.96570999966934,9.038699965458363,188.4822000283748,100,0
neo4j,1_hop,11.36605002102442,94.90698500012513,38.995213996386155,6.680399994365871,182.83240002347156,100,0
neo4j,2_hop,10.153850016649812,96.55029000714421,36.866056003491394,5.084200005512685,387.87440001033247,100,0
neo4j,3_hop,7.306999963475391,80.76790002814958,21.04882100073155,4.943899984937161,262.2714000171982,100,0
neo4j,degree_aggregation,309.6664000186138,816.7864950373765,573.101455004653,210.10989998467267,15082.119300030172,100,0
memgraph,point_lookup,6.703649996779859,13.5160650301259,7.764497997122817,4.306099959649146,29.394599958322942,100,0
memgraph,filtered_lookup,8.51019998663105,16.026854986557737,9.848261998849921,5.943200027104467,37.409799988381565,100,0
memgraph,1_hop,5.82494999980554,8.544515029643662,5.922569003305398,2.9625000315718353,13.45440000295639,100,0
memgraph,2_hop,4.899399966234341,6.842504994710907,6.238308000029065,3.370799997355789,122.2264000098221,100,0
memgraph,3_hop,5.525600019609556,9.067555010551587,5.97098300117068,3.0155000276863575,13.855499972123653,100,0
memgraph,degree_aggregation,163.4137999790255,335.743929957971,190.4472839977825,130.18939999165013,502.48299998929724,100,0
falkordb,point_lookup,3.244249994168058,7.502125005703417,3.7746869964757934,1.2278000358492136,13.68859998183325,100,0
falkordb,filtered_lookup,3.136399987852201,4.72946498193778,3.218064993270673,1.6063000075519085,12.766400002874434,100,0
falkordb,1_hop,2.1042499865870923,3.1480349920457225,2.295945001533255,1.5648999833501875,8.639000006951392,100,0
falkordb,2_hop,1.903200027300045,2.477359984186478,1.9488529983209446,1.3527999981306493,4.943899984937161,100,0
falkordb,3_hop,1.9545499817468226,2.7071499993326142,2.0057529991026968,1.061099988874048,3.91579995630309,100,0
falkordb,degree_aggregation,284.4960000074934,689.6277550025839,341.94500299869105,231.36320000048727,1005.5933999828994,100,0
arangodb,point_lookup,47.92250000173226,55.21163999510463,48.68840099952649,42.88500000257045,59.79939998360351,100,0
arangodb,filtered_lookup,55.31610001344234,76.31812999316024,57.7352889982285,43.94619999220595,98.18430000450462,100,0
arangodb,1_hop,47.56349997478537,53.83562501810957,47.990122002665885,42.95199998887256,57.23529995884746,100,0
arangodb,2_hop,45.485049980925396,51.847639968036674,47.001320999115705,43.12779998872429,105.50229996442795,100,0
arangodb,3_hop,45.685249991947785,52.190625021466985,55.894012001226656,43.16380003001541,560.7092000427656,100,0
arangodb,degree_aggregation,635.2657499664929,747.4475250026444,644.3939519993728,544.8419000022113,839.7060999996029,100,0
